timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.0,0.2,,0.2,,0.2,
0.01,0.15184,77.72,0.44511,30.04,0.33808,44.82
0.02,0.86843,36.95,0.12445,13.11,-0.11099,13.83
0.03,-0.00449,24.08,0.17949,15.26,0.41066,18.84
0.04,0.55879,22.17,0.07344,8.82,-0.05435,9.06
0.05,-0.07753,40.05,-0.05105,10.25,0.21524,8.11
0.06,0.035,15.02,0.24634,15.02,0.54452,6.2
0.07,-0.08476,15.26,0.20713,18.12,-0.20624,14.07
0.08,0.39144,21.93,0.474,10.01,0.17647,5.96
0.09,-0.46596,30.28,-0.35793,6.91,-0.33536,5.96
0.1,-0.22765,17.88,-0.17637,5.72,0.17289,14.78
0.11,0.07475,45.06,0.35908,5.96,0.61895,10.01
0.12,-0.32249,25.03,0.20575,36.95,-0.53779,15.97
0.13,-0.03574,15.97,-0.41229,55.07,0.56828,17.88
0.14,0.46547,18.12,0.06963,14.78,-0.38708,11.92
0.15,0.05488,22.89,0.54609,13.83,0.381,6.91
0.16,-0.25905,20.98,-0.15899,13.11,0.38222,6.91
0.17,0.66877,9.06,0.03128,8.11,-0.17698,5.01
0.18,0.05007,36.95,0.44665,9.06,-0.07742,7.15
0.19,0.38326,35.05,-1.82345,4.77,-0.28824,5.01
0.2,-0.76747,26.94,0.58198,6.91,0.36571,10.97
0.21,-0.02462,18.36,-0.01051,11.92,-1.26759,6.2
0.22,-1.1772,14.07,0.94774,10.97,0.84898,6.2
0.23,-0.38371,14.07,0.0897,5.01,2.49941,7.87
0.24,-0.48249,10.01,1.14932,6.91,2.58659,6.2
0.25,0.60786,10.01,-1.1768,15.97,3.38888,5.72
0.26,-0.32277,9.06,-1.11106,7.15,1.75675,5.96
0.27,-1.58268,14.07,-0.90885,5.96,0.66,28.85
0.28,-2.26896,10.01,0.59283,11.21,0.25046,26.94
0.29,0.09215,13.11,-1.12488,18.84,0.9495,21.93
0.3,-2.60782,8.11,-1.35991,32.19,-0.35255,15.97
0.31,-4.15712,8.11,0.51818,30.99,0.96581,13.83
0.32,-1.97588,6.91,1.1477,20.03,1.72576,14.07
0.33,-1.04639,5.96,0.73315,18.84,1.22865,10.01
0.34,-0.45441,6.2,0.18803,15.97,-0.22284,11.21
0.35,-0.96246,6.2,-0.97345,32.19,0.17814,17.88
0.36,0.4724,16.93,-0.83146,15.26,-0.18514,20.98
0.37,-0.51913,10.97,0.06926,11.92,0.54521,13.11
0.38,1.49106,8.82,-0.18013,12.16,0.0732,10.97
0.39,-0.7118,11.21,0.25938,10.01,-0.60074,9.06
0.4,-0.04869,6.91,-0.10856,15.02,0.76601,11.92
0.41,-0.30868,6.91,0.04804,13.83,0.6194,7.87
0.42,-0.02483,6.91,-0.51266,16.21,-0.754,10.97
0.43,-0.5011,6.91,1.47695,7.87,0.23387,10.01
0.44,0.54412,6.91,-0.92277,11.92,-0.73124,13.11
0.45,0.13708,6.91,-2.40252,6.91,1.268,14.07
0.46,-0.34232,30.99,-3.08592,11.21,2.19938,33.86
0.47,0.83061,26.23,-3.75325,14.78,-0.61089,22.89
0.48,-0.78214,30.04,-4.69489,10.01,0.33088,17.88
0.49,-1.43173,13.11,-1.2806,5.25,-0.65927,10.97
0.5,-1.15203,10.97,-0.48633,22.17,-0.37962,8.11
0.51,-0.37059,9.06,0.40409,12.87,0.3941,14.07
0.52,-0.46119,9.06,-1.3818,10.97,-0.03778,10.01
0.53,0.16786,7.87,-0.31246,6.91,-0.95294,7.15
0.54,0.19092,7.87,0.1391,13.83,0.18831,7.15
