timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.0,0.2,,0.2,,0.2,
0.01,0.16796,33865.93,0.46123,7421.02,0.35419,966.79
0.02,0.8843,947.95,0.16395,819.92,-0.08012,986.1
0.03,0.07302,1030.92,0.20244,767.95,0.41262,845.91
0.04,0.58213,1285.08,0.10455,706.67,-0.01162,838.76
0.05,-0.00505,833.99,-0.02762,687.12,0.22496,750.06
0.06,0.06092,1078.84,0.25963,649.93,0.57657,781.77
0.07,-0.05095,713.83,0.2409,699.04,-0.14736,896.93
0.08,0.40981,777.01,0.50629,660.9,0.18451,766.28
0.09,-0.41387,730.99,-0.30068,687.12,-0.30003,818.25
0.1,-0.24118,684.98,-0.17925,972.75,0.16396,738.14
0.11,0.0717,736.0,0.3636,834.94,0.64376,936.99
0.12,-0.31241,700.95,0.24296,653.98,-0.47907,743.15
0.13,-0.05781,766.99,-0.38317,758.89,0.54585,697.14
0.14,0.46109,708.82,0.05387,646.83,-0.32931,710.25
0.15,0.08771,758.17,0.55965,628.95,0.36467,715.02
0.16,-0.24936,674.25,-0.11118,612.97,0.42392,653.03
0.17,0.65772,782.97,0.0329,612.97,-0.13457,643.01
0.18,0.10748,697.85,0.46267,688.08,-0.07087,637.77
0.19,0.06869,972.03,-1.58707,615.12,-0.25555,653.74
0.2,-0.21077,838.99,0.14031,622.03,0.15325,638.96
0.21,0.61269,781.06,-0.41991,623.94,-0.61704,978.95
0.22,-1.37339,711.2,0.69195,779.87,0.82853,1014.95
0.23,-0.01572,814.68,-1.35368,1035.21,1.4523,990.15
0.24,0.91944,683.78,0.17109,988.96,0.31275,933.17
0.25,1.7364,706.91,0.17868,1045.94,1.20455,864.03
0.26,3.0535,670.19,-0.36803,1020.91,0.1952,854.02
0.27,-1.04954,709.3,0.86345,1145.84,0.06016,830.89
0.28,-3.60025,654.22,1.36969,1043.8,-0.58461,886.92
0.29,-2.9153,899.08,-0.43779,826.12,1.32312,844.96
0.3,-3.455,748.87,0.34109,933.17,0.54398,741.24
0.31,-1.7186,962.97,0.35273,888.11,-0.13857,673.06
0.32,-0.1613,708.1,0.63577,763.89,1.08165,644.21
0.33,-1.57011,1068.83,-0.36485,762.94,-1.21428,684.26
0.34,-0.60596,1219.99,0.42601,783.92,-2.2015,684.02
0.35,-0.81321,2019.88,-0.60893,705.0,-2.18892,664.95
0.36,0.84996,1143.69,0.43631,703.1,-2.03892,722.17
0.37,-1.34551,1222.13,0.15092,653.03,0.90663,634.19
0.38,-1.49411,926.97,0.03194,683.07,2.30153,653.03
0.39,-2.50379,877.86,0.15449,646.83,1.65553,637.05
0.4,-0.2047,962.02,0.39485,627.99,1.9274,626.09
0.41,0.44843,878.1,-0.85761,632.05,0.41053,640.87
0.42,-0.79367,869.04,0.89923,633.0,0.53745,619.17
0.43,0.05497,799.89,2.29839,856.16,-0.06974,660.18
0.44,-1.101,749.11,3.23137,1057.15,-0.3115,953.2
0.45,0.89803,1245.98,2.86663,787.02,0.47055,977.99
0.46,1.04522,1044.99,0.3038,700.0,-0.31028,836.13
0.47,0.02753,700.24,-0.33619,663.04,-1.19762,1024.01
0.48,-0.08281,781.06,-0.69431,638.01,0.00722,1097.2
0.49,-0.29396,648.26,0.52728,705.0,-0.90596,928.16
0.5,0.25614,675.92,-0.969,630.14,-1.13038,840.9
0.51,-1.17239,646.11,0.99414,628.95,0.23767,720.98
0.52,0.44042,639.2,0.91717,623.94,0.64281,706.67
0.53,0.58982,643.25,0.94475,633.0,-1.19557,1051.9
0.54,0.68121,663.04,0.56162,633.0,1.46617,931.02
0.55,-1.2175,621.08,-0.34,643.01,1.43674,845.19
0.56,0.43319,641.11,-0.14139,730.99,1.75153,680.92
0.57,1.24866,615.84,-0.00642,882.39,0.27017,698.09
0.58,2.55336,694.75,0.09974,914.81,-1.02126,680.92
0.59,-0.51574,639.92,-0.28724,746.25,-0.21138,667.1
0.6,-0.04597,700.24,1.40055,719.07,0.60487,675.92
0.61,-1.72093,664.95,-0.3547,727.65,-0.83075,674.96
0.62,0.02348,625.13,-1.0078,764.13,2.00571,664.0
0.63,0.7738,641.11,-0.25681,672.1,-0.24803,654.22
