timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.0,0.2,,0.2,,0.2,
0.01,0.2332,57.22,0.50896,35.05,0.45285,47.21
0.02,0.97113,36.95,0.31202,4.77,0.13306,2.86
0.03,0.41844,11.21,0.30938,5.01,0.56988,2.86
0.04,0.8024,19.07,0.2284,3.1,0.31771,3.1
0.05,0.382,5.96,0.07374,2.15,0.50574,1.91
0.06,0.33815,5.25,0.31027,1.91,0.95091,6.2
0.07,0.22947,3.1,0.35613,3.1,0.39449,2.15
0.08,0.6457,8.82,0.63332,2.15,0.59579,1.67
0.09,-0.05442,7.87,-0.074,1.91,0.20168,2.15
0.1,-0.10275,4.05,-0.16176,0.95,0.54265,2.15
0.11,0.17746,3.81,0.34088,0.95,1.12768,2.15
0.12,-0.16189,3.81,0.3407,0.95,0.19091,5.25
0.13,-0.03743,6.2,-0.29153,10.97,0.95321,4.05
0.14,0.49746,3.1,-0.04749,4.77,0.32723,2.62
0.15,0.27034,3.1,0.50999,1.91,0.81905,0.95
0.16,-0.12715,1.91,-0.01196,2.15,1.04044,1.91
0.17,0.66734,4.77,-0.02078,3.1,0.55052,2.15
0.18,0.35578,4.77,0.40999,1.91,0.48583,0.95
0.19,-0.24557,3.1,-0.79815,0.95,0.33439,2.86
0.2,-0.36237,3.1,-0.62047,1.91,0.20136,2.86
0.21,-0.06612,3.1,-1.28707,0.95,0.23776,0.95
0.22,-0.15005,3.1,-0.90725,2.15,0.32179,1.67
0.23,-0.53794,1.91,-1.45735,1.67,1.26394,2.15
0.24,-0.45595,3.1,-0.87953,1.19,0.6048,7.87
0.25,-0.30851,1.67,-0.65322,2.86,0.63986,6.91
0.26,0.39128,1.91,-1.16903,6.2,0.60469,5.96
0.27,-0.07967,3.1,-0.98474,6.91,0.56464,5.01
0.28,-0.49732,3.1,-0.32757,6.91,-0.18587,4.05
0.29,0.41643,6.2,-1.0346,2.86,0.5443,3.1
0.3,0.11707,8.11,-1.34198,4.29,0.02564,3.1
0.31,-0.38788,11.92,-1.05862,2.86,-0.5992,3.1
0.32,0.17539,6.91,-0.19282,2.86,-0.16896,3.81
0.33,0.00961,5.25,0.02113,2.15,-0.10202,4.29
0.34,-0.07062,4.29,-0.01607,2.15,-0.09358,3.1
0.35,-0.46177,4.05,-0.62773,2.15,0.03952,7.87
0.36,-0.14605,2.15,-0.90891,1.91,-0.18743,2.86
0.37,-0.44124,3.1,-0.81425,1.67,-0.06428,2.15
0.38,0.20716,2.15,-0.56726,1.91,0.66682,3.1
0.39,-0.39904,1.91,-0.35471,3.1,-0.18752,4.29
0.4,0.09847,1.91,0.32258,2.86,0.04044,3.1
0.41,0.41355,0.95,-0.14949,1.67,0.24287,1.19
0.42,0.01075,1.91,-0.48433,0.95,-0.14397,1.67
0.43,-0.01667,2.15,-0.24094,3.81,-0.17377,1.91
0.44,-0.17203,1.19,-0.08608,2.15,-0.69778,2.15
0.45,0.24537,3.1,-0.61305,2.86,-0.2433,1.91
0.46,-0.06123,1.91,-0.37886,0.72,0.3768,2.15
0.47,0.06592,3.1,-0.22869,1.91,-0.62512,5.25
0.48,0.01602,6.91,-0.34885,1.91,-0.04109,1.67
0.49,-0.27681,4.77,0.34715,1.91,0.09808,2.15
0.5,-0.19828,4.77,-0.04268,1.91,-0.66701,2.15
0.51,-0.4914,8.11,0.34378,1.91,-0.2897,0.95
0.52,-0.03738,3.81,-0.30209,3.1,0.44171,1.67
0.53,-0.10553,4.05,-0.50704,1.91,-0.56104,2.15
0.54,0.35722,2.86,0.2475,2.15,-0.05385,2.15
0.55,-0.14545,1.91,-0.04263,1.91,-0.38777,4.05
0.56,-0.33012,1.91,-0.23144,8.11,0.21698,4.05
0.57,-0.36277,4.05,-0.28184,4.05,0.25556,3.81
0.58,0.8214,3.1,-0.06103,5.25,-0.0997,2.62
0.59,-0.08403,2.86,-0.24807,15.02,-0.44595,2.15
0.6,0.80312,2.15,0.43617,3.81,0.28701,1.91
0.61,-0.14442,2.86,-0.09538,3.81,-0.46344,1.91
0.62,-0.02931,2.15,-0.16382,3.81,0.65825,2.15
0.63,0.21943,3.1,-0.38988,3.1,0.05087,1.91
0.64,0.36585,3.1,-0.18003,4.77,-0.25648,3.1
0.65,-0.00463,2.86,0.63598,2.86,-0.10302,1.91
0.66,-0.02222,2.15,0.41658,3.1,0.56938,3.1
0.67,0.44232,3.1,-0.0173,2.86,-0.21179,3.1
0.68,-0.11624,2.86,-0.05209,2.15,0.18019,0.95
0.69,-0.50143,0.95,0.73073,1.91,-0.14951,1.19
0.7,-0.36234,3.1,0.37379,2.15,0.04307,0.95
0.71,-0.08018,2.15,-0.10135,3.1,-0.32976,0.95
0.72,-0.15898,2.15,0.15843,0.95,-0.43439,1.19
0.73,-0.27802,1.91,0.1749,2.15,0.19578,1.19
0.74,-0.54516,2.15,0.16407,0.95,-0.53254,2.15
0.75,-0.2299,0.95,-0.56834,2.15,0.59545,2.15
0.76,-0.37535,0.95,0.37222,2.15,0.40691,0.95
0.77,-0.13343,1.91,-0.28286,2.15,0.12184,1.91
0.78,-0.02961,4.05,0.22296,2.15,0.04629,11.68
