timestamp_seconds,trial_1_pitch_deg,trial_2_pitch_deg,trial_3_pitch_deg
0.0,0.2,0.2,0.2
0.01,0.52795,0.22279,0.96472
0.02,0.31755,1.02399,0.40999
0.03,0.50528,0.65053,0.16983
0.04,0.90834,0.22584,0.04114
0.05,0.97216,0.48539,0.82294
0.06,0.75761,0.44056,0.27688
0.07,0.37815,0.22659,0.36053
0.08,-0.09928,0.40536,0.68693
0.09,0.22693,0.87265,0.57582
0.1,0.49508,0.05292,0.86429
0.11,0.4425,0.01741,0.31239
0.12,0.1227,0.44813,0.52321
0.13,-0.27536,0.08286,0.36481
0.14,0.05342,-0.17378,0.00608
0.15,0.61132,0.39344,0.53877
0.16,-0.30544,0.08397,0.40189
0.17,0.2922,-0.04992,-0.17419
0.18,-0.15895,0.44754,-0.10413
0.19,-0.43836,0.38184,-0.37665
0.2,-0.051,0.30444,0.21536
0.21,-0.19282,-0.215,-0.11922
0.22,0.04265,-0.36959,0.05993
0.23,-0.12561,0.00038,-0.18049
0.24,0.15884,-0.21047,-0.51344
0.25,0.13553,-0.28969,-0.28203
0.26,0.77259,-0.10803,-0.78449
0.27,0.42442,-0.33397,-0.42231
0.28,0.18588,-0.54683,-1.24183
0.29,0.30033,-0.51878,-1.21648
0.3,0.33871,0.2252,-1.05169
0.31,0.3582,-0.15813,-0.52791
0.32,-0.42057,0.16367,-0.85704
0.33,-0.00799,-0.47423,-0.7173
0.34,-0.5931,-0.27273,-0.55974
0.35,-0.07952,-0.44032,-0.10073
0.36,-0.58797,-0.35823,0.35864
0.37,-0.19454,0.33473,0.50141
0.38,0.31726,0.6269,0.50765
0.39,0.24993,0.09319,-0.05112
0.4,-0.71415,0.22514,0.02538
0.41,-0.01648,0.47312,-0.58958
0.42,0.11141,0.10404,-0.32537
0.43,-0.28291,-0.30354,0.20234
0.44,-0.68256,-0.05024,0.60038
0.45,-0.31632,-0.08678,-0.03771
0.46,0.26591,-0.3715,-0.25638
0.47,-0.2851,-0.18796,-0.00631
0.48,-0.42933,0.19373,-0.10231
0.49,-0.6823,0.62939,0.0898
0.5,0.26323,0.31729,0.08918
0.51,-0.11055,-0.34575,0.3333
0.52,-0.07942,0.05965,0.48969
0.53,0.20593,-0.23824,0.56017
0.54,0.26052,-0.05804,0.5794
0.55,0.55451,-0.12055,-0.24137
0.56,0.34573,0.38308,0.47235
0.57,0.41272,-0.11675,0.55282
0.58,0.23484,0.26814,-0.09638
0.59,0.57888,0.19682,0.53491
0.6,0.11325,-0.25276,0.59884
0.61,-0.31904,0.04009,0.17519
0.62,0.33476,-0.62405,-0.3642
0.63,-0.59549,-0.35369,0.06817
0.64,-0.30628,-0.29956,0.36797
0.65,0.29298,0.22979,0.36049
0.66,-0.20985,0.47427,0.01507
0.67,-0.15115,0.23835,-0.51751
0.68,-0.39392,-0.07944,-0.49408
0.69,0.49731,0.08711,-0.37743
0.7,0.72953,0.13116,0.02952
0.71,0.08542,0.2964,-0.00161
0.72,0.31471,-0.68539,-0.06453
0.73,-0.5025,-0.56283,0.40865
0.74,-0.06934,0.19158,0.2381
0.75,0.12971,-0.0735,-0.1353
0.76,0.19224,0.12256,0.10368
0.77,0.28533,0.26532,0.13714
0.78,-0.53916,-0.29385,-0.42161
0.79,0.24757,0.22353,0.01919
0.8,0.14054,0.19481,-0.30451
0.81,0.14759,-0.14857,-0.35514
0.82,-0.19952,-0.20526,-0.58064
0.83,0.07668,-0.03427,-0.60287
0.84,-0.22866,-0.16937,0.43503
0.85,0.39421,0.04392,-0.29146
0.86,0.23035,0.2669,0.26558
0.87,-0.2298,0.45715,0.31437
0.88,0.19118,-0.40458,0.01148
0.89,0.53116,-0.55408,-0.3282
0.9,0.33776,0.18579,0.02647
0.91,-0.20956,-0.39882,-0.06113
0.92,-0.09716,0.34171,0.40994
0.93,0.29107,-0.42223,-0.04479
0.94,0.36768,0.00283,0.14286
0.95,-0.49302,-0.54394,0.01456
0.96,0.23922,-0.62555,-0.17337
0.97,-0.5236,0.07272,-0.52866
0.98,0.212,0.72079,-0.54521
0.99,-0.37327,0.54859,0.30524
1.0,-0.48422,0.37545,0.03041
1.01,0.5893,0.24208,-0.38481
1.02,0.34963,0.48834,-0.38823
1.03,0.27358,0.05477,-0.09571
1.04,-0.26314,-0.811,-0.04899
1.05,-0.13095,-0.37562,0.37801
1.06,-0.20009,-0.48977,-0.39979
1.07,-0.23032,0.18339,0.2925
1.08,0.33377,0.6318,-0.14494
1.09,-0.13861,0.34676,0.1245
1.1,-0.06301,-0.26579,0.61678
1.11,-0.45518,-0.29095,0.11904
1.12,0.43427,0.29301,0.63072
1.13,0.25263,-0.2133,0.31103
1.14,-0.31304,0.08105,-0.226
1.15,-0.26566,-0.19336,-0.44222
1.16,-0.1646,0.50911,0.34037
1.17,0.09896,0.32715,0.26609
1.18,0.3947,0.1698,-0.12163
1.19,0.01594,-0.06914,0.41704
1.2,-0.60085,0.11582,-0.08712
1.21,-0.03332,-0.40407,-0.40493
1.22,-0.61777,-0.19515,0.01639
1.23,0.04589,0.43431,-0.34646
1.24,0.42994,-0.29452,0.05502
1.25,0.46246,0.10763,0.68694
1.26,-0.52236,-0.04416,0.26224
1.27,-0.26863,0.01462,0.02624
1.28,-0.19587,0.06633,0.0194
1.29,-0.15295,0.16177,0.28222
1.3,-0.05056,0.08428,-0.2693
1.31,0.14101,0.38741,-0.01625
1.32,-0.04367,-0.14097,-0.51378
1.33,0.31876,-0.26544,-0.50414
1.34,0.45993,0.32144,-0.05007
1.35,-0.08007,0.62175,-0.46857
1.36,-0.24178,0.00283,-0.26572
1.37,0.20789,-0.11622,-0.30188
1.38,0.14296,0.05833,0.38769
1.39,0.27336,-0.15784,-0.0612
1.4,0.16349,-0.26156,-0.11343
1.41,0.01366,-0.52459,0.69025
1.42,0.17733,-0.35773,-0.08314
1.43,0.07485,0.65532,0.43629
1.44,-0.58085,0.29358,-0.5395
