timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.44511,30.04
0.02,0.12445,13.11
0.03,0.17949,15.26
0.04,0.07344,8.82
0.05,-0.05105,10.25
0.06,0.24634,15.02
0.07,0.20713,18.12
0.08,0.474,10.01
0.09,-0.35793,6.91
0.1,-0.17637,5.72
0.11,0.35908,5.96
0.12,0.20575,36.95
0.13,-0.41229,55.07
0.14,0.06963,14.78
0.15,0.54609,13.83
0.16,-0.15899,13.11
0.17,0.03128,8.11
0.18,0.44665,9.06
0.19,-1.82345,4.77
0.2,0.58198,6.91
0.21,-0.01051,11.92
0.22,0.94774,10.97
0.23,0.0897,5.01
0.24,1.14932,6.91
0.25,-1.1768,15.97
0.26,-1.11106,7.15
0.27,-0.90885,5.96
0.28,0.59283,11.21
0.29,-1.12488,18.84
0.3,-1.35991,32.19
0.31,0.51818,30.99
0.32,1.1477,20.03
0.33,0.73315,18.84
0.34,0.18803,15.97
0.35,-0.97345,32.19
0.36,-0.83146,15.26
0.37,0.06926,11.92
0.38,-0.18013,12.16
0.39,0.25938,10.01
0.4,-0.10856,15.02
0.41,0.04804,13.83
0.42,-0.51266,16.21
0.43,1.47695,7.87
0.44,-0.92277,11.92
0.45,-2.40252,6.91
0.46,-3.08592,11.21
0.47,-3.75325,14.78
0.48,-4.69489,10.01
0.49,-1.2806,5.25
0.5,-0.48633,22.17
0.51,0.40409,12.87
0.52,-1.3818,10.97
0.53,-0.31246,6.91
0.54,0.1391,13.83
0.55,-0.68254,6.91
0.56,0.99171,8.11
0.57,1.62127,7.87
0.58,0.78195,8.11
0.59,0.39898,24.08
0.6,0.6488,6.91
0.61,-1.38746,6.91
0.62,1.4729,7.87
0.63,2.81588,6.91
0.64,4.43134,7.87
0.65,5.94253,7.87
0.66,6.6393,24.80
0.67,6.51012,28.85
0.68,2.33765,17.17
0.69,0.35061,16.93
0.7,-2.31534,30.04
0.71,-3.21556,9.06
0.72,-1.33022,8.11
0.73,-0.88567,20.98
0.74,-0.26596,6.91
0.75,-1.14519,9.06
0.76,1.29539,9.06
0.77,-0.3598,7.87
0.78,1.04597,8.82
0.79,-0.23816,15.97
0.8,0.67057,13.11
0.81,-0.29547,7.15
0.82,-0.24149,5.25
0.83,-0.25788,12.16
0.84,1.2826,13.83
0.85,-1.05193,4.77
0.86,-0.65613,8.82
0.87,-0.99454,11.21
0.88,1.52493,5.96
0.89,-1.6917,5.01
0.9,-1.85166,11.92
0.91,-3.46807,8.11
0.92,-2.85442,6.91
0.93,-3.94918,7.15
0.94,-3.50481,6.91
0.95,1.43198,7.87
0.96,5.14735,6.91
0.97,7.59168,6.20
0.98,9.18391,6.20
0.99,9.05472,6.91
1.0,8.16919,14.78
1.01,5.99264,4.77
1.02,2.84115,8.11
1.03,-0.1194,6.91
1.04,-1.83798,26.23
1.05,-1.15843,23.84
1.06,0.17056,17.88
1.07,-1.28227,10.01
1.08,0.5356,13.11
1.09,-1.25353,10.01
1.1,0.55953,6.91
1.11,-0.87658,6.91
1.12,-0.82041,4.77
1.13,1.07245,8.11
1.14,0.90096,5.25
1.15,-0.05644,5.72
1.16,0.3697,5.72
1.17,0.67061,6.91
1.18,-0.76431,20.98
1.19,-0.81463,5.01
1.2,-0.814,8.82
1.21,1.37224,5.25
1.22,-0.9691,5.25
1.23,-0.24783,7.15
1.24,-1.07044,5.01
1.25,0.49283,6.91
1.26,-1.38002,4.77
1.27,-0.92217,6.91
1.28,-0.87617,5.25
1.29,0.75811,7.15
1.3,0.41022,5.01
1.31,-0.3428,4.77
1.32,1.29987,4.77
1.33,-0.0291,8.11
1.34,0.68623,5.72
1.35,-0.33531,10.97
1.36,0.61988,4.77
1.37,-1.47095,6.20
1.38,1.40323,9.06
1.39,1.07692,6.91
1.4,1.80918,5.01
1.41,2.0723,6.20
1.42,0.69605,5.96
1.43,0.93198,4.29
1.44,-0.57834,6.20
1.45,0.21968,4.77
1.46,-1.27872,5.01
1.47,2.1153,4.77
1.48,2.86235,6.91
1.49,3.21856,5.25
1.5,0.06467,12.16
1.51,-1.94998,7.87
1.52,-4.06257,7.39
1.53,-4.5299,6.20
1.54,-4.89766,7.15
1.55,-2.00696,5.72
1.56,-1.10178,7.15
1.57,1.21287,6.91
1.58,0.14759,5.25
1.59,1.20692,5.01
1.6,-0.7906,7.15
1.61,-1.58796,5.72
1.62,0.21098,4.05
1.63,-0.01009,5.96
1.64,1.36833,4.77
1.65,-1.02508,4.05
1.66,-1.61722,5.96
1.67,-0.66736,7.87
1.68,-0.10049,5.96
1.69,-0.24105,4.77
1.7,0.33116,5.01
1.71,-0.24012,3.81
1.72,0.11218,8.82
1.73,0.34358,5.96
1.74,-1.08534,5.25
1.75,1.59697,5.25
1.76,3.20689,4.77
1.77,3.77679,5.01
1.78,3.72481,4.77
1.79,1.19046,4.77
1.8,-0.10089,7.15
1.81,-0.42615,5.01
1.82,1.18325,5.01
1.83,-1.00501,7.87
1.84,-2.29415,5.96
