timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.45206,1138.93
0.02,0.31716,879.29
0.03,0.75594,831.84
0.04,0.35112,811.82
0.05,0.49491,859.02
0.06,0.34228,798.94
0.07,0.11876,790.60
0.08,-0.4613,859.98
0.09,0.06666,792.98
0.1,0.12132,797.03
0.11,-0.43735,780.58
0.12,0.47308,785.11
0.13,0.18849,921.01
0.14,-0.44544,805.14
0.15,-0.18821,780.11
0.16,-0.12715,857.11
0.17,0.25254,777.01
0.18,-0.02381,790.12
0.19,0.24558,774.86
0.2,-0.70395,766.04
0.21,0.24146,792.03
0.22,-0.31645,782.01
0.23,0.59277,790.12
0.24,-0.81057,780.11
0.25,0.08355,774.86
0.26,-0.85213,988.01
0.27,-0.05063,1057.86
0.28,0.25745,1147.75
0.29,-0.33221,1034.02
0.3,0.01883,928.88
0.31,-0.6531,889.78
0.32,0.46749,900.98
0.33,0.76623,868.08
0.34,-0.71157,844.96
0.35,0.10854,1064.06
0.36,-1.41813,911.71
0.37,2.81351,914.81
0.38,5.36274,823.02
0.39,6.84097,874.04
0.4,9.45798,826.84
0.41,11.01591,816.82
0.42,8.97224,875.95
0.43,6.1585,807.76
0.44,2.65211,797.27
0.45,1.55794,778.91
0.46,-0.05004,819.21
0.47,-0.79793,822.07
0.48,-0.51755,827.07
0.49,0.34649,830.89
0.5,-0.15807,795.13
0.51,-0.56958,797.03
0.52,0.77448,796.08
0.53,-0.12168,806.81
0.54,0.12232,788.93
0.55,0.69529,793.22
0.56,-1.28616,887.16
0.57,0.33432,786.07
0.58,1.3985,792.74
0.59,0.74761,787.97
0.6,0.25697,777.01
0.61,1.49445,770.81
0.62,-0.03489,757.93
0.63,1.74424,798.94
0.64,1.31535,777.24
0.65,-0.67258,863.08
0.66,2.82792,799.18
0.67,3.51435,794.17
0.68,3.91937,788.93
0.69,3.47908,775.10
0.7,2.67134,787.97
0.71,0.80402,776.77
0.72,1.60044,831.13
0.73,-1.4597,808.95
0.74,-1.75764,909.09
0.75,-2.13593,842.09
0.76,-1.49227,821.83
0.77,0.06362,792.03
0.78,-1.96709,792.98
0.79,0.12451,857.11
0.8,-0.01776,812.05
0.81,0.01053,802.04
0.82,0.77537,781.06
0.83,-2.04238,926.97
0.84,-0.82607,1174.93
0.85,-0.73602,1003.03
0.86,0.37216,981.09
0.87,-1.4168,846.15
0.88,0.47459,808.00
0.89,0.62784,804.90
0.9,0.35493,783.92
0.91,0.3706,785.83
0.92,-0.23351,757.69
0.93,0.82364,873.09
0.94,0.22051,789.17
0.95,-0.10739,765.09
0.96,1.06201,761.03
0.97,-0.69225,760.08
0.98,0.95097,775.81
0.99,0.63252,772.24
1.0,0.43331,840.90
1.01,0.2487,808.00
1.02,0.47701,771.05
1.03,-0.63915,781.77
1.04,2.47525,782.97
1.05,3.07447,772.00
1.06,3.16322,777.96
1.07,2.30736,773.91
1.08,0.44761,771.76
1.09,0.73173,772.24
1.1,0.49195,826.12
1.11,0.58941,774.86
1.12,-0.46897,764.85
1.13,0.32186,760.79
1.14,0.75414,780.82
1.15,-1.01119,774.86
1.16,1.42443,801.09
1.17,2.34024,923.87
1.18,3.85246,1048.80
1.19,4.23693,1134.16
1.2,2.23031,1137.02
1.21,0.68492,1099.11
1.22,1.5614,1086.24
1.23,0.26941,1040.94
1.24,0.40932,1095.77
1.25,-0.05376,1026.15
1.26,0.38594,1039.03
1.27,-0.40389,1029.97
1.28,1.19861,1087.19
1.29,1.0278,1039.98
1.3,0.2958,875.00
1.31,0.8423,828.98
1.32,0.58682,805.14
1.33,-0.05053,792.98
1.34,1.4342,784.16
1.35,-0.37163,885.96
1.36,-1.14805,800.85
1.37,0.14091,777.01
1.38,-0.94985,869.04
1.39,-0.03526,808.24
1.4,0.18738,796.79
1.41,-0.6248,876.90
1.42,2.22905,862.12
1.43,2.71537,785.83
1.44,1.88242,776.77
1.45,2.33179,785.83
1.46,-0.96934,774.15
1.47,0.1938,843.76
1.48,0.94315,782.25
1.49,-0.60356,797.03
1.5,-0.72734,766.99
1.51,0.65172,792.98
1.52,-1.05069,777.96
1.53,-1.3156,773.91
1.54,0.06079,772.00
1.55,-0.94265,850.92
1.56,1.36092,799.89
1.57,0.41505,792.03
1.58,1.23491,806.09
1.59,-1.36653,772.71
1.6,-2.64457,786.07
1.61,-0.32938,759.12
1.62,1.37334,791.07
1.63,1.51714,777.96
1.64,1.49708,772.24
1.65,-1.13559,825.88
1.66,1.8085,764.85
1.67,2.61676,760.08
1.68,2.95991,796.08
1.69,3.86313,766.04
1.7,4.37198,760.79
1.71,2.28963,748.87
1.72,0.64863,758.17
1.73,0.82849,764.85
1.74,-0.91055,800.85
