timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.50896,35.05
0.02,0.31202,4.77
0.03,0.30938,5.01
0.04,0.2284,3.10
0.05,0.07374,2.15
0.06,0.31027,1.91
0.07,0.35613,3.10
0.08,0.63332,2.15
0.09,-0.074,1.91
0.1,-0.16176,0.95
0.11,0.34088,0.95
0.12,0.3407,0.95
0.13,-0.29153,10.97
0.14,-0.04749,4.77
0.15,0.50999,1.91
0.16,-0.01196,2.15
0.17,-0.02078,3.10
0.18,0.40999,1.91
0.19,-0.79815,0.95
0.2,-0.62047,1.91
0.21,-1.28707,0.95
0.22,-0.90725,2.15
0.23,-1.45735,1.67
0.24,-0.87953,1.19
0.25,-0.65322,2.86
0.26,-1.16903,6.20
0.27,-0.98474,6.91
0.28,-0.32757,6.91
0.29,-1.0346,2.86
0.3,-1.34198,4.29
0.31,-1.05862,2.86
0.32,-0.19282,2.86
0.33,0.02113,2.15
0.34,-0.01607,2.15
0.35,-0.62773,2.15
0.36,-0.90891,1.91
0.37,-0.81425,1.67
0.38,-0.56726,1.91
0.39,-0.35471,3.10
0.4,0.32258,2.86
0.41,-0.14949,1.67
0.42,-0.48433,0.95
0.43,-0.24094,3.81
0.44,-0.08608,2.15
0.45,-0.61305,2.86
0.46,-0.37886,0.72
0.47,-0.22869,1.91
0.48,-0.34885,1.91
0.49,0.34715,1.91
0.5,-0.04268,1.91
0.51,0.34378,1.91
0.52,-0.30209,3.10
0.53,-0.50704,1.91
0.54,0.2475,2.15
0.55,-0.04263,1.91
0.56,-0.23144,8.11
0.57,-0.28184,4.05
0.58,-0.06103,5.25
0.59,-0.24807,15.02
0.6,0.43617,3.81
0.61,-0.09538,3.81
0.62,-0.16382,3.81
0.63,-0.38988,3.10
0.64,-0.18003,4.77
0.65,0.63598,2.86
0.66,0.41658,3.10
0.67,-0.0173,2.86
0.68,-0.05209,2.15
0.69,0.73073,1.91
0.7,0.37379,2.15
0.71,-0.10135,3.10
0.72,0.15843,0.95
0.73,0.1749,2.15
0.74,0.16407,0.95
0.75,-0.56834,2.15
0.76,0.37222,2.15
0.77,-0.28286,2.15
0.78,0.22296,2.15
0.79,-0.11945,0.95
0.8,0.05916,0.95
0.81,0.69094,3.10
0.82,0.10381,2.15
0.83,-0.17423,0.95
0.84,0.76641,1.91
0.85,-0.21716,6.91
0.86,-0.08454,9.06
0.87,-0.46531,6.91
0.88,0.40598,4.29
0.89,0.08375,3.81
0.9,0.25705,3.10
0.91,-0.8567,1.91
0.92,0.39517,3.10
0.93,-0.47345,2.86
0.94,-0.23056,2.15
0.95,-0.36054,1.91
0.96,0.48921,2.15
0.97,0.28032,1.91
0.98,0.10745,1.91
0.99,0.07859,1.19
1.0,0.01314,0.95
1.01,-0.17774,0.95
1.02,-0.00196,1.91
1.03,-0.65032,0.95
1.04,-0.67255,1.91
1.05,-0.43268,1.19
1.06,0.28953,1.91
1.07,-0.34225,1.19
1.08,0.65784,1.91
1.09,-0.2049,0.95
1.1,0.52105,2.15
1.11,0.18948,2.15
1.12,-0.76697,0.72
1.13,0.00226,0.95
1.14,0.0221,0.95
1.15,0.09423,2.15
1.16,-0.38518,0.95
1.17,0.20487,0.95
1.18,0.36131,0.95
1.19,0.15549,0.95
1.2,-0.41906,0.95
1.21,0.10177,0.95
1.22,-0.69592,1.91
1.23,0.21516,1.19
1.24,-0.05857,2.15
1.25,0.11264,1.91
1.26,-0.36102,0.95
1.27,0.5116,0.95
1.28,0.07452,1.91
1.29,0.36363,1.91
1.3,0.68857,0.95
1.31,-0.28898,3.10
1.32,0.22066,2.15
1.33,0.02193,2.15
1.34,0.09017,0.95
1.35,0.12088,2.15
1.36,0.52277,1.91
1.37,-0.12282,0.95
1.38,0.59692,2.15
1.39,-0.38376,2.15
1.4,-0.30613,1.91
1.41,-0.17659,1.91
1.42,-0.1786,1.91
1.43,-0.2897,2.15
1.44,-0.08856,2.15
1.45,0.43288,0.95
1.46,-0.28975,0.95
1.47,0.66841,1.91
1.48,0.23889,1.67
1.49,0.18229,0.95
1.5,0.25718,0.95
1.51,0.02516,0.95
1.52,-0.61428,2.15
1.53,-0.03861,0.95
1.54,-0.09412,1.91
1.55,-0.11069,0.95
1.56,-0.94383,1.19
1.57,-0.03243,0.95
1.58,-0.28191,0.95
1.59,-0.05331,1.19
1.6,-0.06661,1.91
1.61,-0.31056,0.95
1.62,0.08592,0.95
1.63,-0.31244,1.19
1.64,0.3607,2.15
1.65,0.0275,1.19
1.66,-0.23413,1.91
1.67,-0.54147,1.19
1.68,-0.31541,1.91
1.69,-0.0748,0.95
1.7,-0.05396,1.91
1.71,0.33169,1.19
1.72,-0.13869,0.95
1.73,0.61291,2.15
1.74,-0.05635,0.95
1.75,0.08937,3.81
1.76,0.51896,4.29
1.77,0.09935,3.10
1.78,-0.37787,2.86
1.79,0.13703,1.91
1.8,-0.05105,0.95
1.81,0.206,0.95
1.82,0.85433,2.15
1.83,0.70474,2.15
1.84,0.1912,0.95
1.85,0.32913,2.15
1.86,-0.74858,2.15
1.87,0.25146,2.15
1.88,0.29672,2.15
1.89,-0.36033,0.95
1.9,0.10212,0.95
1.91,0.0212,1.19
1.92,-0.03832,2.15
1.93,-0.13282,2.15
1.94,-0.41655,2.15
1.95,0.29431,0.95
1.96,0.14072,2.15
1.97,-0.22986,1.19
1.98,-0.23146,0.95
1.99,-0.53696,1.19
2.0,0.1312,2.15
2.01,-0.42624,2.15
2.02,-0.58165,0.95
2.03,-0.15391,0.95
2.04,0.23554,2.15
2.05,0.10378,0.95
2.06,-0.2888,0.95
2.07,0.24632,0.95
2.08,-0.01781,1.91
2.09,-0.1516,2.15
2.1,0.07964,2.15
2.11,0.14193,1.19
2.12,-0.51071,0.95
2.13,0.13636,0.95
2.14,-0.12355,1.19
2.15,0.24035,0.95
2.16,-0.28005,0.95
2.17,0.25961,0.95
2.18,0.29322,0.95
2.19,-0.1757,0.95
2.2,-0.40277,0.95
2.21,0.33294,0.95
2.22,0.30664,1.91
2.23,-0.63096,2.15
2.24,0.30793,1.19
2.25,-0.10053,1.91
2.26,-0.40443,1.67
2.27,-0.12149,1.91
2.28,-0.36558,0.95
2.29,-0.41583,0.95
2.3,-0.06439,1.19
2.31,0.55912,0.95
2.32,0.21727,3.81
