time_ms,left_enc,right_enc
1748424126858,0,0
1748424126966,0,0
1748424127077,0,0
1748424127192,0,0
1748424127294,0,0
1748424127410,0,0
1748424127518,0,0
1748424127624,0,0
1748424127735,0,0
1748424127847,0,0
1748424127953,0,0
1748424128063,0,0
1748424128174,0,0
1748424128291,0,0
1748424128393,0,0
1748424128503,0,0
1748424128613,0,0
1748424128725,0,0
1748424128832,0,0
1748424128942,0,0
1748424129052,0,0
1748424129162,0,1
1748424129277,0,69
1748424129389,0,202
1748424129492,0,347
1748424129601,0,492
1748424129712,0,638
1748424129821,0,784
1748424129930,0,930
1748424130041,0,1077
1748424130153,0,1222
1748424130260,0,1369
1748424130370,0,1515
1748424130481,0,1661
1748424130589,0,1808
1748424130699,0,1954
1748424130809,0,2101
1748424130920,0,2247
1748424131028,0,2393
1748424131142,0,2540
1748424131256,0,2687
1748424131358,0,2834
1748424131468,0,2981
1748424131580,0,3128
1748424131687,0,3275
1748424131799,0,3421
1748424131910,0,3569
1748424132017,0,3716
1748424132127,0,3862
1748424132240,0,4010
1748424132348,0,4157
1748424132456,0,4305
1748424132566,0,4452
1748424132676,0,4599
1748424132787,0,4746
1748424132897,0,4893
1748424133006,0,5041
1748424133115,0,5189
1748424133230,0,5336
1748424133335,0,5484
1748424133444,0,5630
1748424133554,0,5778
1748424133665,0,5926
1748424133774,0,6073
1748424133884,0,6221
1748424133994,0,6368
1748424134111,0,6516
1748424134216,0,6663
1748424134323,0,6811
1748424134438,0,6958
1748424134544,0,7106
1748424134656,0,7253
1748424134763,0,7401
1748424134874,0,7549
1748424134981,0,7696
1748424135093,0,7844
1748424135201,0,7988
1748424135314,0,8112
1748424135421,0,8215
1748424135538,0,8297
1748424135653,0,8361
1748424135750,0,8406
1748424135864,0,8436
1748424135973,0,8451
1748424136084,0,8454
1748424136190,0,8454
1748424136299,0,8454
1748424136410,0,8454
1748424136523,0,8405
1748424136629,0,8274
1748424136741,0,8136
1748424136849,0,7998
1748424136958,0,7859
1748424137069,0,7720
1748424137182,0,7582
1748424137288,0,7443
1748424137398,0,7304
1748424137511,0,7165
1748424137617,0,7026
1748424137727,0,6888
1748424137842,0,6748
1748424137946,0,6610
1748424138061,0,6471
1748424138166,0,6332
1748424138276,0,6193
1748424138386,0,6054
1748424138501,0,5916
1748424138605,0,5777
1748424138717,0,5638
1748424138825,0,5499
1748424138935,0,5360
1748424139046,0,5222
1748424139154,0,5083
1748424139265,0,4944
1748424139377,0,4805
1748424139483,0,4666
1748424139593,0,4528
1748424139705,0,4389
1748424139813,0,4250
